,id,patent,software,brand,book,article_A1,article_A2,article_A3,article_A4,article_B1,article_B2,article_B3,article_B4,article_C,article_SQ,book_chapter,work_in_event,researcher,graduation,guidance_ic_a,guidance_ic_c,guidance_m_a,guidance_m_c,guidance_d_a,guidance_d_c,guidance_g_a,guidance_g_c,guidance_e_a,guidance_e_c,lattes_10_id,event_organization,participation_event,first_doc
35,8ab55684-3b91-4a5a-8ff8-390817183385,,,,2,,,,,,,,,3,,5,2,Cristhiane Ferreguett,Doutorado,,1,4,,,,,7,,1,K4746772A8,2,40,2014.0
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998.0
39,11fd8441-d6c4-4dc3-80e1-dcee94e1c1f3,,,,,,,1,,,,1,1,1,,1,3,Florisvalda Da Silva Santos,Doutorado,1,5,,3,,,,3,,,K4761531A0,60,22,2005.0
40,44287c37-ce90-4711-99bc-b31adb8ba6b6,,,,,,,,,,,1,,,2,,2,Rute Paranhos Silva Mendes,Mestrado,,,,,,,,1,,,K4735341D8,1,6,
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017.0
42,056f8dd2-bf3b-4b0e-9efb-fd75a2f1e423,,2,,2,1,,1,,2,3,2,2,2,2,2,17,Francisco Bruno Souza Oliveira,Pós-Doutorado,3,7,4,17,2,,,2,,,K4776303Z7,8,2,2007.0
43,a52c68e9-fc22-40b9-8686-a0120b857185,,,,1,1,4,,3,2,,1,15,,3,6,1,Quintino Reis De Araujo,Pós-Doutorado,8,6,,2,,,,8,,2,K4793622D9,1,18,1996.0
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,a57d1844-fe3c-4ad1-9f6a-212ca6c8ee4e,,,,,,,,,,,,2,3,11,3,19,José Carlos Santana Queiroz,Mestrado,,2,,,,,,14,,21,K4730207J3,,15,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,c9c424e5-13c6-42ce-aa37-56759398941f,,,,1,,1,2,,1,6,1,1,1,1,7,32,Elis Cristina Fiamengue,Doutorado,2,9,3,6,,,,7,,1,K4784780Y5,5,25,2002.0
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013.0
49,766965e8-53b0-410c-ba9c-7402f9bd4785,,,,4,,,,,,,,,,1,,1,Aline Nery dos Santos,Mestrado,,,,,,,,27,,1,K4274617J5,9,38,
50,d628a622-070c-4f70-b564-6eb7c1754231,,,,,,,,1,,1,,,,,4,2,Mellina Da Silva Gonçalves,Mestrado,,,,,,,,,,,K2773809H6,,26,
51,d7b009be-a6f5-4f02-9a1b-c98b7a254f7a,,,,1,4,,,,1,1,,,,,13,,Janaina Zito Losada,Pós-Doutorado,,4,2,3,3,2,,,,,K4767505U5,15,21,2007.0
52,0a9224e9-dcf1-4b35-a52b-9b7cfc8461c1,,,,,,,,,1,,,,,,,20,Veronica Ferreira De Souza Fernandes,Mestrado,,,,,,,,,,,K4755710Y8,1,1,
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001.0
54,5abcb53a-b808-464b-9201-8605b1a49846,,,,1,1,2,,4,2,1,,,1,2,14,15,Maria Jucilene Lima Ferreira,Doutorado,2,2,4,10,,,,6,,2,K4771867Y0,19,48,2015.0
55,5e8c9175-daef-465c-b5a0-1f6cd50bc16f,,,,,2,1,1,,1,,,,1,2,,9,Anaildes Lago De Carvalho,Pós-Doutorado,2,2,,2,,,,2,,,K4137435U8,,6,2014.0
56,c48b1974-7d32-4074-8668-6a41503e6bf3,,,,2,,,,,1,,1,,,,2,7,Patrícia Argôlo Rosa,Doutorado,,,,,,,,23,,,K4708075D5,5,19,2017.0
57,7c3a1c7d-8f14-46ed-ba27-60c6325acf4b,,,,1,1,3,3,1,1,,1,1,,2,3,11,Verônica Yumi Kataoka,Doutorado,,,,8,,1,,3,,,K4710860A1,5,3,2009.0
58,1a11f935-1318-40aa-87fd-0a4b0a05f835,,,,4,4,2,2,1,2,,1,,1,1,21,11,Francisco Eduardo Torres Cancela,Pós-Doutorado,,20,2,9,1,3,,17,,,K4779248Y4,13,18,2012.0
59,b6db4337-08b6-42ec-9bc0-ab632b197709,,,,,,,,,,1,,,1,,2,1,Ricardo Mazzon Sacheto,Mestrado,,,,,,,,8,,,K4475806E7,2,2,
60,fd0485ca-ecd9-4137-bab3-0d7186dc989d,1,,,,4,5,5,2,1,4,1,1,1,,3,17,Bianca Mendes Maciel,Pós-Doutorado,,5,1,7,1,4,,,,,K4767760Z7,1,6,2010.0
61,d62e0fb7-3614-4158-96f5-ce6644fb2007,,,,,,1,1,5,,,,,,3,7,1,Ronalda Barreto Silva,Pós-Doutorado,2,8,,,,1,,2,,,K4782904J3,6,2,2001.0
62,dcf6114e-1830-4cdf-9393-4c52a7ce7a25,,5,,3,4,1,1,3,4,2,,,,1,8,11,Silvar Ferreira Ribeiro,Pós-Doutorado,3,7,,,7,1,,24,,,K4778948Z4,15,15,2013.0
63,65d07361-3e3d-4413-8025-7f537ddbe5cd,,,,,,,,1,1,1,1,,,1,6,15,Rayana Thyara De Lima Rêgo Ladeia,Doutorado,,,,,,,,10,,2,K4254740A9,5,35,2022.0
64,b6b06063-235b-4d55-94e3-4e7cffe7ae57,,,,1,5,,,,,1,,1,1,,2,2,Ricardo Marques Nogueira Filho,Doutorado,,,,,,,,8,,,K4245382D9,,10,2021.0
65,b3cbfcf3-a9ff-4cd8-8317-0e9d99dcd46f,,,,1,,,,1,,1,,1,,,4,5,Luiz Antonio Ferraro Júnior,Doutorado,,,1,3,,,,,,,K4728410Y1,,,2008.0
66,4763ba2e-96b0-4eed-b8df-fd88083a6c20,,,,3,1,1,1,1,,,,,2,,4,1,Marcelo Henrique Dias,Pós-Doutorado,2,23,3,3,,,,19,,9,K4790423T6,4,7,2007.0
67,14ff2c68-6b16-4ea8-bad5-495a8c698830,,,,1,1,,,,1,4,1,3,,1,7,64,Carmem Virgínia Moraes Da Silva,Pós-Doutorado,2,3,2,3,,,,13,,1,K4130844P0,7,30,2016.0
68,03971933-b4cc-4e1a-a81a-e7f957df5497,,,1,1,,,,,1,,2,,,,,3,Poliana Gonçalves Guimarães,Mestrado,1,12,,,,,,5,,,K4734063H8,20,40,
69,0df9a9c2-6098-491f-9ff9-ebad29b994dc,,,,1,,,,1,2,,,,,,1,,Maria Alba Guedes Machado Mello,Doutorado,,,,1,,,,2,,,K4785755U6,2,4,2015.0
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017.0
71,5c958675-ae91-47fc-beef-6b552fc753be,,,,,,4,2,3,2,1,,,2,,1,4,Danilo César Souza Pinto,Pós-Doutorado,2,8,3,4,,,,8,,,K4745446Z7,10,8,2013.0
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,275aa93b-ac6e-4ba9-9a66-3fdd612ff65e,,,,3,,,7,5,,1,1,1,,,7,52,Caroline Vasconcelos Ribeiro,Pós-Doutorado,3,25,2,3,,,,15,,1,K4774751A7,6,23,2008.0
74,0a0f86e4-4d5d-4884-8012-d544c3f56297,,,,,,,,,,,,,,,,,Norma Leite Martins De Carvalho,Especialização,,,,,,,,4,,,K4254350P5,2,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,9447a559-0f1e-4eae-8db6-e8ed9107789c,,,,,1,1,,3,,1,1,,,1,6,3,Clara Aleida Prada Sanabria,Doutorado,1,6,1,5,1,,,1,,8,K4441457E2,4,20,2016.0
77,272df57a-6684-4c89-a73f-4307bb19e3b8,,,,1,,,3,,2,3,,,1,1,4,35,Alba Lúcia Santos Pinheiro,Pós-Doutorado,,14,2,2,,,,6,,9,K4281692H3,5,7,2014.0
78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.0
79,9eef9d0d-2915-4d75-bea1-b6b163487d53,,,,,,,,,,,,,,,,5,Elvina Perpétua Ramos Almeida,Doutorado,,,,,,,,3,,3,K4260221A4,4,21,2021.0
80,7e9dc5cd-440e-4456-9810-47068c0d3592,,,,,4,2,3,,,3,,1,,,1,13,Karine Santana Carvalho,Pós-Doutorado,2,2,2,4,,,,2,,,K4792831J6,6,22,2008.0
81,760be840-713d-42c4-9b93-bb83fbf1ca17,,,,3,,6,5,4,1,10,5,,23,15,22,73,Valéria Viana Sousa,Doutorado,3,23,7,51,5,,,,,,K4774619U5,16,69,2008.0
82,279a2498-aa73-4aa3-b5ce-8344c5369fe0,,,,,,1,,4,3,1,2,2,2,19,3,19,Marília Flores Seixas De Oliveira,Pós-Doutorado,,7,4,14,,,,,,27,K4702504J3,6,23,2008.0
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014.0
84,541fe10c-e2f2-46c8-be7d-47855a4fcf0d,,,,,,,,1,,,1,,2,,2,21,Nayana Sepúlveda Suzart,Mestrado,,,,,,,,10,,,K4206369D4,9,6,
85,28c4edac-4a1c-4721-b448-200e39007dee,,,,,1,5,2,1,9,3,,1,1,,2,35,Adilva De Souza Conceição,Pós-Doutorado,1,15,2,7,,1,,3,,,K4763679D3,2,7,2006.0
86,aac84a7e-3773-4aa7-829f-a9ca8acc0308,,,,,,,,,,,,,,,,7,Willian De Bulhões Brandão,Mestrado,,,,,,,,1,,,K4559145P6,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012.0
88,13f69b59-2b56-406c-ab75-acf6ab8e2a36,,,,1,,,,,,,,1,,,,4,Álvaro Vinícius De Souza Coêlho,Doutorado,,6,,,,,,11,,,K4751050T5,1,,2010.0
