,id,patent,software,brand,book,article_A1,article_A2,article_A3,article_A4,article_B1,article_B2,article_B3,article_B4,article_C,article_SQ,book_chapter,work_in_event,graduation,guidance_ic_a,guidance_ic_c,guidance_m_a,guidance_m_c,guidance_d_a,guidance_d_c,guidance_g_a,guidance_g_c,guidance_e_a,guidance_e_c,participation_event,name,first_doc,institution,ind_prod,min_book_year,min_book_chapter_year,min_article_year,min_work_in_event_year,min_text_in_newspaper_magazine_year,min_patent_year,min_guidance_year,min_software
330,29587e69-e916-411d-aad1-87d77cd1dd87,,,,1,1,1,2,1,9,,2,,,1,15,30,Pós-Doutorado,,,1,1,1,,,,,,39,Maria da Graça Silveira Gomes da Costa,2019,UFSB,9.0,2023,2014,2012,2008,,,2022.0,
331,0729c15b-9a01-4a3b-b9a7-b1b44eba99a5,,2,,,1,,,,,,,,,,1,7,Doutorado,8,8,1,1,,,,4,,,13,Bilzã Marques De Araújo,2015,UFSB,1.0,,2020,2016,2010,,,2012.0,2020.0
332,7b976509-346e-4817-ac3a-01468f61952f,,,,1,,,,,,,,,,,,,Graduação,,,,,,,,,,,,Monalisa Ferraz De Ferraz,None,UICL,0.0,2011,,,,,,,
333,1d6061ee-6718-4d1a-89a2-85a74b84bc2f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Otoniel Vitor Cavalcante Rocha,None,UNEB,0.0,,,,,,,,
334,3e26d3cc-ff5a-4a5b-a46d-13b7da0b4e77,,,,26,,,,,,,,,1,10,29,47,Mestrado,,,,,,,,33,,,115,Andrea Tourinho Pacheco de Miranda,None,UNEB,0.0,2010,2012,2010,2012,,,2006.0,
335,272494e7-9660-4769-aebe-dbda31108ba2,,,,,,1,,2,,,,,,1,,24,Doutorado,,8,,,,,,,,,12,Marly Fernandes Araújo Carvalho,2001,UNEB,2.125,,,1997,1994,2019,,2002.0,
336,3bdad807-f461-4faa-8518-d31365ead04e,,,,1,3,,1,1,1,,5,15,5,,13,38,Doutorado,,,,,,,,17,,2,70,Andreia Cristina Freitas Barreto,2023,UICL,8.0,2019,2018,2008,2010,2021,,2011.0,
337,4e0fe803-eb60-4b07-8b17-b6abd6cf59a8,,,,,,,,,,,,,,2,5,9,Pós-Doutorado,,,,,,,,4,,11,40,Zoraya Maria De Oliveira Marques,2006,UNEB,0.0,,2003,1995,2001,,,2001.0,
338,6bd5466d-9fc3-4c5e-aa3c-143ccc143b9f,,,,,,1,1,,1,1,2,1,1,2,5,36,Doutorado,,,,,,,,,,,,Nelson De Jesus Teixeira Júnior,2019,UICL,3.12,,2008,2007,2006,,,,
339,22f80ce6-7e45-4b26-89a9-07a026611bac,,,,3,1,1,1,,,,2,,,2,8,7,Pós-Doutorado,,8,9,7,,,,9,,6,96,Eliana Márcia dos Santos Carvalho,2014,UNEB,3.125,2019,2013,2013,2010,,,2005.0,
340,55a6ee6c-9338-483f-9cba-a02d877fb1fa,,,,1,7,3,7,3,4,,1,2,1,4,5,65,Doutorado,1,9,,7,,,,30,,4,56,Alessandra Alexandre Freixo,2010,UEFS,19.25,2011,2007,2006,2002,,,2005.0,
341,e3bf3394-8246-4b8c-b149-6fcaeabdbbad,,1,,2,,,,,1,,,,2,3,3,4,Doutorado,,2,,,,,,13,,1,14,Adriano Antônio Lima Menezes,2020,UNEB,0.5,2009,2007,2003,2008,1996,,2005.0,2011.0
342,fa944583-e97a-49fc-adba-6bca754ff4f6,,,,,,,,,,,,,,,,,Especialização,,,,,,,,,,,16,Giovani De Campos Carvalho,None,UFSB,0.0,,,,,,,,
343,6fe44b16-097d-4d76-b5ff-a18dce37c8b4,,,,,3,,1,6,,,,2,1,,4,44,Doutorado,,46,,,,,,91,,1,75,Micheline Flôres Porto Dias,2016,UICL,7.75,,2014,2010,2012,,,2005.0,
344,f7eb3ad4-befd-40fc-8f06-b55cfa3bf597,,,,,,5,,5,2,1,3,6,,2,10,15,Mestrado,,,,,,,,5,,,23,Marco Antonio Araujo Silvany,None,UNEB,10.37,,2024,1998,1995,,,2005.0,
345,d05779c0-93d3-454b-a5c8-f39c4af5c7d8,,,,,,,,,,,1,,,,2,,Mestrado,,,,,,,,,,,,José Lima De Menezes,None,UEFS,0.25,,2021,2010,,,,,
346,1b468a9c-b19a-41cb-acbb-6bd382d66bde,,,,7,1,2,1,3,1,,,1,1,3,14,13,Doutorado,,1,,1,,,,49,,9,89,Gilmar Alves Trindade,2011,UESC,6.0,2008,2005,2003,2002,,,1999.0,
347,2b26188d-df6d-4217-81fd-957d3496adfc,,,,1,,,4,,4,4,,,2,,5,2,Mestrado,,,,,,,,8,,1,64,Fábio Thomaz Melo,None,UICL,6.48,2021,2021,2017,2020,2016,,2017.0,
348,bb4ec540-ef6c-4c35-83e6-f3051bf28667,,,,,2,,,,2,,1,,1,,3,1,Mestrado,,,,,,,,7,,,33,Ione Barbosa De Oliveira Silva,None,UESC,3.25,,2008,2016,2019,,,2011.0,
349,16c21312-56a7-4c9b-b0c6-88de56d43b8d,,,,1,,,,,,,1,,,1,1,13,Doutorado,,,,,,,,,,,,Alaíze Dos Santos Conceição,2020,UICL,0.25,2015,2014,2012,2006,,,,
350,7b688e23-9f2b-4dbe-bdc4-94110d1c5135,,,,,1,,8,4,11,3,3,,3,4,5,48,Doutorado,2,14,3,,,,,17,,1,56,Andréa dos Santos Souza,2015,UESC,16.86,,2013,2002,2000,,,2005.0,
351,c0210823-ecca-481d-9bc7-7d7573420f3e,,,,3,1,4,4,5,1,,2,,,1,4,41,Doutorado,,,1,,,,,25,,1,186,Sandra Maria Cerqueira da Silva,2016,UEFS,11.625,2018,2008,2006,2005,2002,,2007.0,
352,5034ac22-d5cc-41e9-bc12-9b47cbe20d06,,,,,,,,,1,,,,,1,1,21,Mestrado,,,,,,,,5,,1,20,André Luis Lima Batista Sales,None,UNEB,0.5,,2014,2020,2009,,,2014.0,
353,f4838507-8107-4f4a-acc4-fb510466e5b6,,,,5,1,11,5,1,1,2,,,1,3,20,86,Pós-Doutorado,2,6,6,24,2,,,11,,17,54,Leila Pio Mororó,2005,UESB,16.24,2010,2005,2005,1996,2008,,2000.0,
354,0d9acc56-c99a-4494-86c9-e117f6314593,,,,,1,,,2,3,1,,1,,,4,110,Doutorado,6,12,,,,,,16,,18,108,Igor Brasil de Araújo,2020,UNEB,4.245,,2019,2010,2007,,,2012.0,
355,0a0e914d-5730-4fed-a3e4-26e48812654a,,6,,1,,2,2,,4,9,5,6,2,4,,62,Doutorado,1,10,3,9,,,,4,,,9,Susana Marrero Iglesias,2008,UESC,10.58,2015,,2005,2004,,,2007.0,2000.0
356,43bb5b90-693a-4761-b8df-0a97405157d1,,,,,,,,,,,,,,,7,12,Doutorado,,,,,,,,16,,,25,Kleber José Fonseca Simões,2023,UNEB,0.0,,2018,,2002,2015,,2008.0,
357,5477930a-dd16-40e3-998a-b7df16e523b5,,,,1,,,,1,1,,1,,,,2,9,Especialização,,,,,,,,26,,1,35,Isabele Pires Santos Soler,None,UESB,1.375,2002,2007,2004,1996,1994,,2001.0,
358,8a8ebc81-cb41-4a85-b934-f28049807bf6,,,,3,3,2,2,2,2,,,1,,3,14,36,Pós-Doutorado,,2,4,21,5,,,26,,7,128,Célia Tanajura Machado,2007,UNEB,8.625,2018,2008,2002,1997,2014,,2000.0,
359,01359ce2-3ba4-40e4-9023-eaa42f69c8a0,,2,,,13,7,8,7,17,8,4,,6,7,4,16,Doutorado,2,22,7,7,,5,,43,,,60,Ney Cristian Amaral Boa Sorte,2011,UICL,41.96,,2006,2004,1999,,,2006.0,1996.0
360,91c624be-6644-4444-996c-134c37eb20f6,,,,,,1,,5,,,,,1,5,1,6,Mestrado,,,,,,,,7,,4,31,Ângelo Márcio Macedo Gonçalves,None,UEFS,4.0,,2010,2002,2006,2003,,2004.0,
361,9da29a87-512b-480c-beb2-0d303a75a908,,,,5,,1,,,1,2,1,2,2,11,19,12,Doutorado,,15,2,22,1,1,,11,,38,65,Carla Luzia Carneiro Borges,2007,UEFS,2.615,2000,1996,2006,1994,1991,,1993.0,
362,59ec5280-6562-4368-b9ab-b0fe69a3088b,,,,,,,,,,1,,,,,,5,Graduação,,,,,,,,17,,1,22,Marcos Vinicius Fernandes Calazans,None,UFSB,0.37,,,2020,2017,,,2013.0,
363,587ac5b9-8711-4a0f-ab5e-7916d0286499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adson Demetrio Silva Amparo,None,UNEB,0.0,,,,,,,,
364,c442073e-ebdc-46da-8def-8f9b203d2458,,,,,28,28,6,5,5,1,,,2,,,55,Pós-Doutorado,,34,3,7,,4,,,,,33,Erik Galvao Paranhos da Silva,2009,UESC,62.995,,,2005,2001,,,2005.0,
365,ffc8ff79-e9c6-4990-92af-9beb51d35e2f,,,,2,,,,,1,1,,1,,5,7,4,Doutorado,,,,,,,,,,,,Ceila Sales De Almeida,2022,UICL,0.995,2020,2020,2014,2013,,,,
366,65c3e4ad-8934-4e74-8b68-0266dfa48c81,,,,,1,5,3,11,6,2,5,8,3,20,3,143,Doutorado,9,77,5,46,8,5,,30,,6,63,Erminda da Conceição Guerreiro Couto,1996,UESC,20.49,,1999,1989,1995,1997,,1995.0,
367,3b4ed495-a954-4990-8fc3-eeb4009c419b,,,,2,7,4,4,2,2,1,,13,,1,8,42,Doutorado,,,2,6,,,,2,,,33,Rafael Petry Trapp,2018,UICL,17.745,2020,2015,2010,2010,2022,,2019.0,
368,ed748eb0-3795-48b9-96ca-d9b8e8bbea92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cacyane De Paula Naiff Do Amaral,None,UICL,0.0,,,,,,,,
369,9cf35cd8-40b1-4764-bea9-d3b1016f1a42,,,,16,1,1,2,1,2,,3,,,20,3,34,Doutorado,,,,,,,,,,,,Miguel Almir Lima De Araújo,2006,UEFS,5.75,1993,2016,1995,1993,1994,,,
370,65e4c5b1-68ae-4764-9d44-69194c5af0bc,,,,,12,4,,2,3,2,,,,1,4,41,Doutorado,,2,,,,,,2,,2,224,Maricelia Maia de Lima,2020,UEFS,18.99,,2018,2014,2000,,,2012.0,
371,a3703c33-bf8c-4e1b-b8fe-a92b377d6eb5,,,,5,,,3,4,6,4,8,,1,4,14,35,Pós-Doutorado,3,13,2,23,,,,24,,5,55,Claudio do Carmo Gonçalves,2001,UNEB,11.23,2002,2000,1997,1998,2008,,2002.0,
372,030c09de-5af6-46f6-9a3b-591c3fe80717,,,,,21,27,37,16,6,8,35,8,13,14,2,245,Pós-Doutorado,3,51,3,60,12,9,,11,,,2,Renata Cristina Ferreira Bonomo,2005,UESB,98.085,,2009,2000,1998,,,2004.0,
373,9d031566-2066-4329-bb57-d0a26d13bfd3,,10,,,1,2,,,,1,,2,3,,6,33,Doutorado,4,40,,6,,,,42,,3,30,Ana Patrícia Fontes Magalhães Mascarenhas,2016,UNEB,3.37,,2014,2013,2003,2007,,2006.0,2007.0
374,0b89805f-c8e7-4d44-99c4-2a0309db5ef6,,,,,,,1,3,3,10,,1,,,8,27,Doutorado,1,1,,10,1,,,40,,19,98,Jorge Costa do Nascimento,2003,UESB,7.95,,2013,2010,2001,,,2004.0,
375,12fd4556-670d-46d8-99f9-eee6f29bd679,,,,1,11,7,2,4,8,1,1,1,,1,10,60,Doutorado,5,8,3,1,,,,9,,5,43,Cintia Borges de Almeida,2018,UESC,25.87,2024,2012,2009,2007,2020,,2014.0,
376,034ae539-db03-43dc-88a7-b13991f9a116,,,,2,,,,2,,,,,,5,,12,Doutorado,,,,,,,,18,,10,7,Patrícia Nicolau Magris,2020,UNEB,1.25,2002,,2012,2000,,,2006.0,
377,ad5ae3f6-9c46-4b7d-9479-91a45ea27e60,,,,,,,,1,1,,2,,4,1,,3,Mestrado,1,2,,,,,,7,,7,35,Lilian Brito da Silva Fatal,None,UNEB,1.625,,,2018,2018,,,2015.0,
378,077ebd72-99bd-446f-956d-8d14734edb14,,,,1,,,,1,,,,2,1,,2,4,Mestrado,,,,,,,,1,,,25,Myria Conceição Cerqueira Felix,None,UEFS,0.875,2020,2017,2004,2004,,,2021.0,
379,0bd640a3-7f13-423f-9682-a476708cda0b,,,,,7,5,4,5,5,,,,,2,1,18,Doutorado,2,10,2,11,,,,41,,,61,Christiana Andrea Vianna Prudêncio,2013,UESC,20.0,,2021,2008,2009,,,2009.0,
380,895704eb-89df-451e-8f9f-cddeb6dcf53c,,,,1,,,,,,,,,,2,,,Mestrado,,,,,,,,,,,,Luis Eduardo Gomes Do Nascimento,None,UICL,0.0,2018,,2011,,,,,
381,d292ba81-cef7-4053-88cb-10efaaa801cd,,,,,6,13,9,13,11,7,,3,,1,6,82,Pós-Doutorado,1,18,1,22,3,10,,2,,,57,Janisete Gomes Da Silva Miller,1996,UESC,40.715,,2000,1993,1988,,,2002.0,
382,f0c7ce0f-8158-4f08-95d6-9a14f3116a3c,,,,2,,2,,7,1,,,1,,4,2,34,Doutorado,,,,,,,,6,,1,37,Orlando José Ribeiro De Oliveira,2017,UESB,6.75,2003,2003,1986,2001,1978,,1998.0,
383,b1042a9e-2adf-4221-a503-280c9b2d9637,,,,,3,1,2,1,,1,2,1,1,3,,29,Doutorado,3,10,2,12,,,,1,,,3,Gildson Queiroz de Jesus,2011,UESC,6.995,,,2009,2003,,,2013.0,
384,536ec928-95fd-419e-baf5-b4c87aff6960,,,,2,,,,2,4,12,2,7,1,5,7,53,Pós-Doutorado,1,31,5,14,1,2,,9,,,61,Adalberto Brito de Novaes,1998,UESB,9.065,1992,1992,1990,1991,1992,,2000.0,
385,41e4ed23-196e-4576-b373-009b1f5d122d,,,,8,3,13,20,16,64,66,42,10,35,25,76,257,Pós-Doutorado,1,82,3,20,2,11,,63,,36,82,Luciana Araújo dos Reis,2010,UESB,107.545,2012,2010,2005,2000,2006,,2004.0,
386,6d9408e6-7cbf-4f36-9f08-6b21971a50d8,,,,3,,1,,,,,,,1,,,22,Mestrado,,,,,,,,11,,,81,Emile Assis Miranda Oliveira,None,UESB,0.875,2023,,2021,2005,,,2014.0,
387,797158b1-fe37-4d02-b712-f60e93d72268,,,,6,,,2,,1,1,1,,,45,,,Doutorado,1,2,4,,,,,18,,2,6,Moisés Oliveira Alves,2019,UICL,2.62,2017,,2011,,2020,,2012.0,
388,4d3303db-4599-497b-bcd6-5ba101d3f1c4,,,,2,1,2,3,27,35,18,6,1,6,13,43,102,Doutorado,3,,4,3,1,,,33,,1,166,Cleuma Sueli Santos Suto,2019,UNEB,47.66,2022,2012,2011,2012,,,2008.0,
389,5c437c69-385b-4b52-bc6b-972fb229be52,,,,,,,,,,,,,,,3,4,Doutorado,,,,,,,,,,,,Silvia Regina Seixas Sacramento,2016,UEFS,0.0,,2014,,2010,,,,
390,07d63c52-3de0-444c-afb0-6c807ac273eb,,,,1,,,,,,,,,,,,,Especialização,,,,,,,,,,,39,Evan Pereira Barreto,None,UFSB,0.0,2022,,,,2010,,,
391,a266a465-4af0-4748-94ba-ba7807db26e0,,,,,,,,1,,,3,12,6,10,3,30,Doutorado,,12,,,,,,37,,22,58,Adriano Monteiro D'Almeida Monteiro,2006,UESB,2.875,,2023,2002,1997,,,2003.0,
392,439ce1e2-1983-4b59-bcc6-2d9876cf7613,,,,,6,,2,1,3,9,2,3,4,2,9,,Doutorado,,3,2,1,,,,,,,12,Magali Teresópolis Reis Amaral,2018,UEFS,13.83,,2016,2010,,,,2020.0,
393,9d47b50c-0b0c-4070-b53a-5a54bacd110e,,,,,,,,,,,,,,,,1,Graduação,,,,,,,,,,,10,Tadeu Ferreira Gomes,None,UNEB,0.0,,,,1999,,,,
394,f8d1283b-e322-45b5-9dea-7a98edc83837,,,,,,,,,,,2,,,,,6,Mestrado,,,,,,,,,,,14,Maiana Azevedo Vasconcelos,None,UFSB,0.5,,,2017,2009,,,,
395,d06921d6-053d-40fa-8c60-09da2026139b,,1,,2,15,24,10,8,8,18,5,5,,13,5,102,Pós-Doutorado,3,34,3,41,9,9,,6,,2,38,Marcelo Schramm Mielke,1997,UESC,61.035,2009,2009,1989,1989,,,2003.0,2014.0
396,c2893307-4065-4f40-ae09-470f08f21c0b,,,,,1,,,2,2,1,,2,3,,2,92,Doutorado,9,25,6,3,,,,28,,2,100,Jaqueline dos Santos Cardoso,2012,UNEB,3.87,,2010,2007,2002,2005,,2007.0,
397,7147d09b-6cda-4a10-990c-6e4e23a81fef,,,,5,1,5,9,,,,3,,,2,25,34,Pós-Doutorado,,7,3,19,,,,24,,5,136,Maria Cristina Dantas Pina,2009,UESB,12.875,2014,2006,2001,1997,,,2003.0,
398,1e4a64cb-aa16-475d-a6c0-160f49af9797,,,,,,,,,1,,,,,,2,5,Mestrado,,,,,,,,,,,,Simone Gonsalves Mendes de Araújo,None,UEFS,0.5,,2020,2016,2004,,,,
399,8faa1ad2-08a7-47fb-bc43-ca9ffb98c09a,,,,9,4,7,3,4,,,,,,2,29,55,Doutorado,,3,4,5,,,,66,,48,215,Simone Ribeiro Santos,2017,UNEB,14.875,2013,2012,2009,2009,2008,,2007.0,
400,5fc20ca1-0193-461f-8749-bc884c388bcf,,,,3,,,3,,,,,,,2,8,15,Doutorado,,8,,,,,,5,,,51,Luciana Cristina Da Costa Audi,2019,UESC,2.25,2014,2011,2009,2007,2010,,2011.0,
401,64449f36-f311-4040-8935-f4f39ba69a91,,,,,,,,,,,,,,,,3,Especialização,,,,,,,,,,,22,Alexsandro Nascimento Costa,None,UESB,0.0,,,,2007,,,,
402,2a57d200-e284-4cbb-88c4-378f715cbcbb,,,,9,26,4,15,2,4,4,3,2,4,7,34,101,Pós-Doutorado,,34,2,14,,2,,4,,6,114,Lina Rodrigues de Faria,2003,UFSB,46.48,2003,2007,1995,1994,1993,,1996.0,
403,b1349cc3-893f-4840-ba60-7f889a2dfed6,,,,,2,,,1,1,,1,2,2,1,2,11,Doutorado,,,,4,,,,7,,,18,Fernando Dos Santos Silva,2017,UESB,3.625,,2020,2012,2008,2016,,2006.0,
404,a0d12c65-410c-4cce-831e-28bde361eea7,,,,,,,1,,11,1,,,2,1,3,2,Doutorado,,,,,,,,8,,,67,Agnes Claudine Fontes De La Longuiniere,2021,UESB,6.62,,2022,2015,2012,,,2013.0,
405,09bc9718-9499-4f92-b77a-a2eff42c877f,,,,2,,,,,,1,,,,,,,Mestrado,,,,,,,,6,,,17,Adeilda Ana Da Silva Martins,None,UNEB,0.37,2018,,2020,,,,2009.0,
406,00bdc642-0603-40b8-b368-98d8964a284e,,,,2,6,6,6,6,2,5,2,6,,1,7,69,Pós-Doutorado,,12,1,18,1,8,,7,,,58,José Olimpio de Souza Júnior,2007,UESC,23.6,2000,2000,1996,1991,,,2000.0,
407,a45b432f-fd75-4eb2-9d16-160bdac4d1d9,,,,6,,1,1,1,2,20,,,12,8,25,59,Pós-Doutorado,,1,3,13,,,,38,,16,295,João Evangelista do Nascimento Neto,2014,UNEB,10.65,2016,2011,2004,2004,2000,,2006.0,
408,00c9f486-7104-4721-b93b-2c9568e1560b,,,,5,1,,,1,3,,1,1,,,3,4,Mestrado,,,,,,,,18,,,35,Klaus Araujo Santos,None,UICL,3.5,2018,2018,2017,2012,2014,,2019.0,
409,dc885a4a-3aae-4cd7-b43d-a5a13c85f4dc,,,,,,,,,2,,1,,,,4,21,Doutorado,,3,,,,,,11,,,102,Simone Cardoso Passos,2022,UICL,1.25,,2016,2012,2009,,,2008.0,
410,aca2cbb9-3348-4c8e-b221-61d370d3aae9,,,,5,,,,,,,,,,1,1,12,Mestrado,,,,,,,,1,,,32,Maria Lícia Silva De Queiroz,None,UESC,0.0,2018,2021,2020,2001,,,2006.0,
411,d50baae7-5355-460c-84a4-9bf6b6544bd0,,4,,2,1,1,,,1,1,,,,2,2,2,Doutorado,,1,4,,,,,9,,,20,Genilson Cunha de Oliveira Filho,2019,UNEB,2.745,2018,2020,2015,2015,,,2003.0,2013.0
412,b6db4337-08b6-42ec-9bc0-ab632b197709,,,,,,,,,,1,,,1,,2,2,Mestrado,,,,,,,,10,,,8,Ricardo Mazzon Sacheto,None,UESB,0.37,,2019,2016,2002,,,2003.0,
413,e300959d-4f8e-43d0-8c9e-bebcf7195d50,,,,,,,2,,1,,9,3,,3,,16,Doutorado,,,,,,,,,,,,Nélia De Medeiros Sampaio,2017,UEFS,4.625,,,2004,1996,,,,
414,70ba8616-f016-412f-b797-2d66eaae9dd2,,,,4,2,2,3,,2,2,,,,,8,20,Doutorado,2,6,5,,,,,6,,,35,Guineverre Alvarez Machado de Melo Gomes,2016,UFSB,7.74,2021,2017,2011,2011,2019,,2018.0,
415,b649cc7a-f80e-406f-98f6-cd0d579ab3e9,,,,,,,1,1,2,1,,,,3,1,,Doutorado,2,1,,1,,,,,,2,4,Gilson Evaristo Iack Ximenes,2005,UESB,2.745,,2005,1999,,,,2008.0,
416,08051a70-46a1-47ef-b33a-95ca7ad101ac,,,,2,,,,,2,2,,,,1,5,1,Mestrado,,,,,,,,,,,,Marcia Sandra Fernandes Dos Santos Lima,None,UEFS,1.74,2016,2018,2012,2013,,,,
417,ef7d4589-b565-48d6-a302-354380cf4e87,1,,,,1,,1,5,6,10,3,7,2,8,9,108,Pós-Doutorado,5,29,6,17,4,,,3,,,37,Cristiano Tagliaferre,2006,UESB,13.2,,2005,2001,2000,,2005,2008.0,
418,f8a9038c-e86c-47bc-9c3c-9b4efe8b2028,,,,7,,4,4,4,3,7,,,4,8,43,75,Pós-Doutorado,2,20,3,14,3,3,,85,,10,167,Rosemary Lapa de Oliveira,2013,UNEB,13.09,2015,2014,2006,2005,2017,,2011.0,
419,9f244163-645d-40b8-99b6-325eba6ba995,,,,1,,6,2,,,,,6,10,7,4,44,Doutorado,,,,,,,,28,,,,Marco Antonio Tamai,2002,UNEB,7.5,2006,2000,1997,1995,2005,,2012.0,
420,436e8eb5-13f5-41e5-9b7f-36eb0ed84ddd,,,,1,,,,,,,,,,9,4,16,Doutorado,,,,,,,,5,,2,59,Daelcio Ferreira Campos Mendonça,2013,UESB,0.0,2017,2005,2003,2007,2003,,2014.0,
421,5cc9725f-2c56-4ea0-8f3e-d248196d602b,,,,,,1,2,,3,4,2,,,,1,12,Doutorado,,8,,,,,,21,,3,89,Renata Coppieters Oliveira de Carvalho,2019,UICL,5.855,,2018,2011,2009,2011,,2008.0,
422,5782eb0a-b07e-44ff-ad57-3fa1fed9ee25,,,,5,1,1,3,,2,,1,,1,2,4,3,Doutorado,1,3,1,9,,,,32,,2,32,Aldo José Morais Silva,2006,UEFS,5.375,1996,2001,1997,2004,2000,,2000.0,
423,e431c836-0c4f-476a-bc2e-5922e666a21b,,,,8,,1,2,,2,,,1,,,4,2,Doutorado,,3,,,,,,19,,11,18,Cleidiana Patricia Costa Ramos,2017,UICL,3.5,1998,2015,2010,2019,2003,,2014.0,
424,f79e9bba-1d80-46b8-bcbd-30a84e90674b,,20,,4,10,10,5,8,5,1,1,,4,1,7,38,Doutorado,,3,2,4,9,2,,1,,1,38,Aloisio Santos Nascimento Filho,2018,UNEB,30.62,2021,2016,2008,2015,2021,,2020.0,2021.0
425,e0fe76cf-a921-4f38-9bc2-2698ae32b2a0,,,,,6,3,1,3,2,,1,1,,1,2,23,Doutorado,,,,,,,,,,,,Crisliane Aparecida Pereira Dos Santos,2014,UICL,12.625,,2018,2008,1998,,,,
426,4796e205-8fe2-42d0-82ae-e65876541085,,,,3,1,3,,2,,1,2,,1,4,8,15,Doutorado,1,2,,,,,,20,,,92,Ivanilde Guedes de Mattos,2013,UICL,5.745,2009,2006,2004,2004,2006,,2007.0,
427,9f008d84-e142-4bce-8bd5-1844a8876154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Isabel Cristina de Oliveira Leite,None,UICL,0.0,,,,,,,,
428,d2ccbbdd-620d-4ccb-b818-29c9d81a1719,,,,1,1,1,,2,6,1,2,2,11,1,11,2,Doutorado,,3,1,,,,,8,,1,65,Charles Souza Santos,2019,UESB,7.245,2021,2021,2011,2013,,,2003.0,
429,da9ecaef-7638-429a-80da-2d8f10b520cf,,,,,,1,,,1,,,,,,2,,Doutorado,,,,,,,,,,,,Marcio Santos Da Conceição,2024,UICL,1.375,,2019,2019,,,,,
430,231d26ee-4732-4eb3-a197-bc086893637e,,,,16,1,6,12,,3,1,,,1,10,41,87,Pós-Doutorado,3,42,1,14,6,5,,63,,7,58,Luci Mara Bertoni,2007,UESB,17.12,2002,2003,2001,2000,,,2004.0,
431,9107540e-7434-480a-ac5b-e520075b097e,,,,,,,,,,,,,,1,10,36,Especialização,,,,,,,,,,,17,Raysa Messias Barreto de Souza,None,UICL,0.0,,2016,2013,2010,,,,
432,6b129bc0-add5-4e0c-af48-eabe791b2956,,,,54,1,5,5,6,22,13,10,1,5,9,65,131,Doutorado,,15,2,2,,,,28,,5,118,Américo Junior Nunes da Silva,2018,UNEB,31.31,2013,2013,2016,2011,,,2011.0,
433,9d7d573d-4cbc-473e-8d84-9f236fb82a8d,,,,,,,1,1,,8,,,1,1,,3,Doutorado,,15,,,,,,2,,,13,Jurgen Alves De Souza,2017,UESB,4.335,,,2009,2010,,,2015.0,
434,70b1a86b-60fc-41e0-a931-d00c01893299,2,,,,,4,2,,,1,,,,1,1,12,Doutorado,,1,,2,,,,1,,,21,André Gustavo De Araujo Fernandes,2012,UESC,5.37,,2013,2006,2002,,2011,2014.0,
435,180a29ba-7e95-4c8e-abfc-242622065b8d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pollyanna Soares De Novaes,None,UICL,0.0,,,,,,,,
436,81e6ff7d-1a32-4531-b680-3334803562d3,,,,7,2,,2,6,1,5,,5,41,39,23,164,Pós-Doutorado,,10,3,13,5,7,,3,,5,232,Milene de Cássia Silveira Gusmão,2008,UESB,10.225,2010,2000,2002,1987,1994,,2003.0,
437,fb63bd26-e1b0-4ceb-85ee-f64129b812ca,,,,2,,,1,1,1,3,2,,1,2,6,27,Doutorado,,18,,,,,,8,,3,61,Aline Maria dos Santos Pereira,2023,UNEB,3.485,2014,2014,2011,2009,2009,,2012.0,
438,908e8c96-faaa-4e74-b3f1-23d482f0c58d,,,,1,,,1,1,3,,,,,,6,17,Doutorado,,2,1,,,,,11,,,57,Márcio Oliveira D'Esquivel,2019,UNEB,2.875,2023,2014,2016,2006,,,2004.0,
439,8b039313-35cf-40ec-b655-7db3c7fb1758,,,,5,3,7,2,2,7,2,9,,,14,53,74,Doutorado,,19,3,2,,1,,203,,12,163,Cristina Grobério Pazó,2006,UFSB,18.365,2014,2004,2004,1996,2010,,2002.0,
440,b836c5e5-e214-4c81-9794-9c5c406275cc,,,,,1,,,,,,,,,1,,5,Mestrado,,,,,,,,,,,,Lidio Pereira Junior,None,UICL,1.0,,,2021,2013,,,,
441,e30ac150-d4e2-4a16-92b1-bd5f06a16e23,,,,10,,2,7,2,1,2,4,,1,5,33,53,Pós-Doutorado,2,8,3,6,,,,3,,,82,Fernanda Luzia Lunkes,2014,UFSB,10.49,2010,2014,2006,2000,,,2008.0,
442,63778aa6-4c1a-42d0-a3c1-5793ad55aa54,,,,6,,,1,7,1,,,2,,11,7,15,Pós-Doutorado,,4,14,15,,,,8,,,41,Jeronimo Jorge Cavalcante Silva,2004,UNEB,5.875,2010,2009,1996,1997,,,2007.0,
443,ada2be4a-e945-452a-893b-164703d72498,,,,,,1,3,,1,1,2,2,,,,34,Doutorado,3,27,,,,,,20,,,28,Taís Silva de Oliveira Brandão,2016,UEFS,4.745,,,2006,2003,,,2010.0,
444,bb03e546-e03e-4ceb-b34d-1692016d96f4,,,,7,25,10,12,1,1,2,,1,,6,16,77,Doutorado,2,15,4,18,3,2,,26,,1,68,Edinaldo Medeiros Carmo,2013,UESB,44.74,2013,2011,2005,1998,,,2003.0,
