,id,patent,software,brand,book,article_A1,article_A2,article_A3,article_A4,article_B1,article_B2,article_B3,article_B4,article_C,article_SQ,book_chapter,work_in_event,graduation,guidance_ic_a,guidance_ic_c,guidance_m_a,guidance_m_c,guidance_d_a,guidance_d_c,guidance_g_a,guidance_g_c,guidance_e_a,guidance_e_c,participation_event,name,first_doc,institution,ind_prod,min_book_year,min_book_chapter_year,min_article_year,min_work_in_event_year,min_text_in_newspaper_magazine_year,min_patent_year,min_guidance_year,min_software
23,22f1420b-b347-4be9-be92-803016a805b8,1,,,,2,3,2,,1,2,1,1,5,,,28,Doutorado,6,21,,5,1,,,8,,,25,Sônia Cristina Oliveira Melo,2010,UESC,7.74,,,2006,2002,,2021,2008.0,
24,28eb33a7-80d7-485f-809a-3230b80bbef1,,2,,,9,,2,1,7,2,5,2,,3,5,65,Pós-Doutorado,,25,1,5,2,,,23,,2,30,Juan Alberto Leyva Cruz,2005,UEFS,16.865000000000002,,2012,2000,1998,,,2009.0,2005.0
25,05e1fdad-d629-4f30-a1c3-b952a545e8fc,,,,,,,,,1,,,1,,,6,39,Mestrado,,,,,,,,27,,1,123,Tatiana Dias Silva,None,UNEB,0.625,,2022,2021,2008,,,2009.0,
26,91ca824c-bf17-4403-b474-a2bf206d6d7e,,,,9,,9,5,1,8,,,1,,1,21,80,Pós-Doutorado,2,7,6,13,2,,,56,,27,50,Andrecksa Viana Oliveira Sampaio,2013,UESB,16.375,2015,2013,2005,2004,,,2002.0,
27,3b41e982-99e2-4fcc-ba6c-a41c14dab205,,,,2,4,11,,2,1,4,6,2,1,6,19,139,Doutorado,,,2,7,1,1,,7,,1,20,George Olavo Mattos e Silva,2010,UEFS,18.605,2005,2005,1994,1986,,,1999.0,
28,076aec1a-fea8-4b79-bc93-d1b3125513f7,,,,2,1,,,,,,1,,,6,15,24,Doutorado,,2,,1,,,,1,,11,174,Dalva de Andrade Monteiro,2010,UEFS,1.25,2021,1996,2001,1998,2002,,1997.0,
29,119be898-970a-4616-93d7-9e5d2a7417ca,,,,2,,1,,1,1,,,,,4,1,4,Doutorado,,,,,2,,,9,,4,54,Luiz Paulo Almeida Neiva,2013,UNEB,2.0,2013,2013,1981,2022,1981,,2000.0,
30,d136b0dd-4eeb-4d1d-a2ef-4cee5b81a0f1,,,,,,,,,,,,,,,,3,Mestrado,,,,,,,,1,,,16,Silvana Santos Amorim,None,UICL,0.0,,,,2020,,,2022.0,
31,e998ae34-0ae3-4509-9e01-fa30a9a962b6,,,,,,,,,2,,,,,,,5,Mestrado,,1,,,,,,2,,,20,Elienai Bitencourt Batista,None,UESB,1.0,,,2019,2012,,,2018.0,
32,d412cf87-fbbe-4139-8e4c-4c832b3c799d,,,,14,,6,10,,,3,1,,,4,61,66,Doutorado,1,27,4,23,8,,,32,,8,63,Áurea da Silva Pereira,2014,UNEB,14.11,2013,2010,2000,2002,2011,,2007.0,
33,15e8a576-0f22-4ecb-a773-4ca2a41298b7,,,,2,2,1,,6,10,,,6,7,2,2,44,Doutorado,1,16,,,,,,11,,,23,Cecília Oliveira de Azevedo,2009,UESB,12.375,2015,2005,2005,1998,1998,,2006.0,
34,87687338-b7c3-4832-9c88-aeadd4e1d01a,,,,1,,1,1,1,2,1,3,2,1,2,6,62,Doutorado,6,5,2,,1,,,23,,19,108,Carina Oliveira dos Santos,2018,UNEB,4.62,2022,2004,2010,2012,2019,,2004.0,
35,c76941c8-eaa9-45c5-90f8-f355a67794e1,,,,27,,18,1,2,5,2,3,1,6,4,59,63,Pós-Doutorado,,8,2,9,,1,,39,,27,131,Ivonete Barreto de Amorim,2013,UICL,21.865,2014,2007,2008,2006,2019,,2005.0,
36,eba520c0-2e2b-4c5e-a804-4820c9001bf6,,,,,1,,,4,2,,,,,,,5,Pós-Doutorado,2,11,,,,,,10,,2,35,Giorgio Gonçalves Ferreira,2015,UICL,4.5,,,2013,2007,,,2013.0,
37,eb885737-672b-4704-bd63-bac2730b430d,,,,,7,6,5,3,5,6,1,,1,2,1,71,Doutorado,5,8,2,4,,,,5,,,33,Carla Martins Kaneto,2011,UESC,22.845,,2014,2008,2002,,,2013.0,
38,2b52fc7e-85ea-46bc-9dbd-46b8c38f03e5,,,,1,1,,,,1,2,,,1,1,5,39,Doutorado,,5,,,,,,3,,11,55,Erika Antunes Vasconcellos,2004,UESC,2.24,2006,2005,1996,1998,,,2004.0,
39,94a4f7d6-2206-4757-9282-36bf019b6db0,,,,1,1,1,,,6,3,2,,3,4,8,46,Doutorado,2,12,1,,,,,17,,1,104,Adriana Braitt Lima,2016,UEFS,6.484999999999999,2020,2020,2008,2002,,,2011.0,
40,31ce0cb5-d0ab-41f0-8bce-5db506a4180c,,,,12,1,1,1,,2,1,1,,3,4,16,8,Pós-Doutorado,,12,,9,3,,,13,,,83,Elisângela Santana dos Santos,2011,UNEB,4.245,2015,2006,2015,2004,,,2005.0,
41,1853837d-a597-4314-846a-6ec1ef31f0fa,,,,1,4,2,4,3,3,8,8,1,12,4,6,105,Doutorado,5,38,1,9,,,,12,,,52,Aline Oliveira da Conceição,2010,UESC,17.21,2011,2011,1997,1995,,,2000.0,
42,57374e82-82b8-4e29-9915-5e48051b596c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gleidson De Meireles Costa,None,UNEB,0.0,,,,,,,,
43,508d7338-2d64-4f9a-9369-b567ca51fba0,,10,,,,,1,1,,,,,,4,2,12,Doutorado,,,,,,,,1,,,30,Ariane de Souza Stolfi,2019,UFSB,1.375,,2016,2003,2015,2017,,2021.0,2009.0
44,7ed5406c-5fde-427a-8486-eafc59625362,1,,,,3,12,7,10,6,1,,,2,1,5,44,Pós-Doutorado,1,11,4,7,,,,4,,,23,Julieta Rangel de Oliveira,2012,UESC,28.37,,2013,2011,2006,,2023,2008.0,
45,408a2415-8ed7-4771-9539-4936f84c8161,,,,,,,,,,,1,,,,1,,Mestrado,,,,,,,,43,,24,65,Cidineide Gerônimo Ribeiro da Silva,None,UEFS,0.25,,2022,2002,,2008,,2002.0,
46,1b7b1238-dc56-4ffa-957e-5bb4ddc9b15c,,,,,,,,,2,,2,,2,,,4,Mestrado,,,,,,,,,,,40,Luana Caetano Thibes,None,UESB,1.5,,,2013,2014,,,,
